station_id1,station_id2,all,all_reverse,classic,classic_reverse,electric,electric_reverse,classic_ratio,electric_ratio,classic_ratio_reverse,electric_ratio_reverse
SF-M26-2,SF-F27,11,15,3,3,8,12,0.2727272727272727,0.7272727272727273,0.2,0.8
SF-M26-2,SF-N22-2,8,16,2,10,6,6,0.25,0.75,0.625,0.375
SF-M26-2,SF-G28-2,2,2,2,2,0,0,1.0,0.0,1.0,0.0
SF-M26-2,SF-G28-1,1,6,1,1,0,5,1.0,0.0,0.16666666666666666,0.8333333333333334
SF-M26-2,SF-M22-1,4,4,1,0,3,4,0.25,0.75,0.0,1.0
SF-M26-2,SF-O25-1,9,6,2,2,7,4,0.2222222222222222,0.7777777777777778,0.3333333333333333,0.6666666666666666
SF-M26-2,SF-K22-2,7,8,6,1,1,7,0.8571428571428571,0.14285714285714285,0.125,0.875
SF-M26-2,SF-K24,11,12,8,7,3,5,0.7272727272727273,0.2727272727272727,0.5833333333333334,0.4166666666666667
SF-M26-2,SF-J23-2,25,22,5,7,20,15,0.2,0.8,0.3181818181818182,0.6818181818181818
SF-M26-2,SF-G23,9,43,7,3,2,40,0.7777777777777778,0.2222222222222222,0.06976744186046512,0.9302325581395349
SF-M26-2,SF-G24,85,3,77,0,8,3,0.9058823529411765,0.09411764705882353,0.0,1.0
